Time,Variance,Lag-1 AC,Lag-2 AC,Lag-4 AC,AIC fold,AIC hopf
99.0,0.01664661016504975,-0.021590277191030776,-0.8912063253160774,0.8150358245310153,,
99.5,0.017251607573423356,-0.02175496430398022,-0.8931622225015765,0.81877930515722,1.2723963473637828e-16,0.9999999999999994
100.0,0.017949545884933384,-0.019152667512884483,-0.8959855828677084,0.8247326544329389,,
100.5,0.018559778624438306,-0.02094926122675582,-0.8978280527427089,0.8290345747307982,,
101.0,0.01931148470668775,-0.020440633211390932,-0.9002233619804286,0.8354164496474284,,
101.5,0.019997470495264194,-0.020753524502870536,-0.9027695989711654,0.8400055570758919,,
102.0,0.020764851386077678,-0.01637723819913396,-0.9044117513536959,0.8450031850482423,1.6646689022053745e-18,1.0
102.5,0.02149839969664954,-0.01773453974343632,-0.9063061587068733,0.8500700861532322,,
103.0,0.022237550047037508,-0.013875157546658457,-0.9072875499756714,0.8538852033926869,,
103.5,0.022975300193753365,-0.014695168773735287,-0.9087919549629048,0.857568728391676,,
104.0,0.023785238349588064,-0.012534614319009447,-0.9103084902847839,0.8604768001597937,,
104.5,0.02458137956769388,-0.013993358327911109,-0.9111932936335669,0.8633818247428853,3.526252807536557e-19,1.0
105.0,0.02545084271939613,-0.011285192740659969,-0.9124648072045162,0.8667295546276031,,
105.5,0.02636159022748751,-0.008913840068175931,-0.9134492551528473,0.8699375882937984,,
106.0,0.027286757311310438,-0.008573235760159097,-0.9148683446291085,0.8734236328898275,,
106.5,0.02824625204487631,-0.0066221630863510525,-0.9159248956186471,0.8759982205669116,,
107.0,0.029231706544269476,-0.004379252961375994,-0.9165760334877763,0.8782003779548704,1.2433281626835765e-17,1.0
107.5,0.03021149414637332,-0.0026191491002370824,-0.9177160656674772,0.8813561241994176,,
108.0,0.03127833052533067,-0.0017383035649713868,-0.9187783028700554,0.8826507575638617,,
108.5,0.032326855847273246,0.002662688318070158,-0.9185481827791135,0.8840688212683842,,
109.0,0.033350522508113996,0.0013312571466506328,-0.9191852819338712,0.8862083333518005,,
109.5,0.0343647944608264,0.0066848592237861324,-0.9189620707414136,0.8856766222539549,3.624659996250983e-17,0.9999999999999999
110.0,0.03553590084352695,0.0022730693305156057,-0.9197113190380857,0.8879083511367256,,
110.5,0.03678008403319839,0.008122439206451218,-0.9208818676383445,0.88847398658954,,
111.0,0.03792039588260639,0.007605302434562477,-0.9200732046779188,0.8895877534018938,,
111.5,0.039126110636900746,0.011679248653925185,-0.9197497343513362,0.8911056351089235,,
