Realisation number,Time,State variable,Smoothing,Residuals,Standard deviation,Variance,Lag-1 AC,Lag-2 AC,Lag-4 AC,Coefficient of variation,Skewness,Kurtosis,Smax,AIC fold,AIC hopf,AIC null
2,91.5,0.852609543405784,0.7657915517288751,0.08681799167690885,0.06648990932967795,0.004420908042668795,0.020392871956530896,-0.7548449952059255,0.6291174505869522,0.07978413413178738,-0.07693261441469802,0.5404406481530819,,,,
2,92.0,0.6448948967336443,0.7658331602393802,-0.12093826350573589,0.06714904056317293,0.004508993648554643,0.001611979969452178,-0.7594794277608199,0.6331465411727216,0.08077334719723268,-0.06886761328428147,0.46133966681472705,0.0009366652335716948,6.224799275433219e-40,1.0,1.472705193428085e-39
2,92.5,0.565126642660758,0.7659060609494128,-0.20077941828865487,0.06877982873782373,0.004730664841204364,0.037401095915022387,-0.7644073382430087,0.6619108427747651,0.08302280026081348,-0.15115612970188838,0.5752823424398696,,,,
2,93.0,0.9041391769418032,0.7660047147069692,0.13813446223483405,0.0697513408716067,0.004865249553387071,-0.0029673319135108214,-0.7698673022112411,0.6694314065158519,0.08419213572489058,-0.1333521722562246,0.5118876148361248,,,,
2,93.5,0.880549648254977,0.7661302610144145,0.11441938724056244,0.07042333202603175,0.004959445693648709,0.02032520139552203,-0.7744214641724477,0.6752980021453029,0.08504089426394663,-0.12721023877685883,0.43991095940615976,,,,
2,94.0,0.6344212084317598,0.7662859050942055,-0.1318646966624457,0.07118429819123455,0.0050672043089785975,0.00033319633507606765,-0.7798136270840568,0.6820560560323304,0.08616622058850125,-0.12332192523316725,0.3570802881219646,,,,
2,94.5,0.537409010652353,0.7664715698210592,-0.22906255916870621,0.07336598901901972,0.005382568344738923,0.03559505581127367,-0.7814369225124043,0.7027409882637154,0.08904346632710691,-0.25618668506953796,0.5538684703689143,0.0009727436517283195,6.5190407280679115e-31,1.0,1.5414198400512151e-30
2,95.0,0.9840612206700734,0.7666853319073145,0.21737588876275893,0.07558848046543787,0.005713618379073882,-0.025418392150049835,-0.7854348842362994,0.7127333805110693,0.09167824711863129,-0.12270769047507865,0.6912577807985075,,,,
2,95.5,0.9252004118639484,0.7669217264496372,0.15827868541431123,0.07656848925132007,0.005862733546229516,0.016712194378354337,-0.7954540048713297,0.7196716120073593,0.09291098779459217,-0.08248043910696665,0.6450487467538976,,,,
2,96.0,0.5570647450325108,0.7671833432808244,-0.21011859824831358,0.07838312727284501,0.006143914641071018,-0.021494842074272803,-0.8057741893532072,0.7268465447503013,0.09540290212836972,-0.14328795464755698,0.6337733064284868,,,,
2,96.5,0.6291906985118363,0.7674729660341323,-0.138282267522296,0.07912332164312089,0.006260500027840761,0.008941314921023631,-0.8103850399214658,0.7319250754734157,0.09653578819086046,-0.13478091192777944,0.5451547076787128,,,,
2,97.0,1.0058808658256717,0.767789461851752,0.2380914039739197,0.08155548526262596,0.0066512971764224,-0.02414166027168146,-0.820297785149755,0.7486095922395186,0.0994012199975997,-0.008115518750567312,0.6966077695202816,0.0010365274430885923,5.47950573255889e-28,1.0,1.3716777966167328e-27
2,97.5,0.8347842388972163,0.7681311055412415,0.06665313335597478,0.08174290624513052,0.006681902721400198,-0.005985371769669837,-0.8201585869945089,0.7476771816394392,0.09971162892929998,-0.015767140306497104,0.6664283313992275,,,,
2,98.0,0.4807575842543042,0.7684923786888215,-0.28773479443451727,0.08495323639149735,0.007217052373389631,-0.02509822713719952,-0.8318896873884232,0.7611632631603649,0.10399650652236837,-0.19784021239362973,0.9777500930882113,,,,
2,98.5,0.6799211266387989,0.768876491558829,-0.08895536492003009,0.08520344692260008,0.0072596273674923285,-0.002302153978361921,-0.8328004871197231,0.7653490234969503,0.10447980357917072,-0.18769032321176649,0.9328583089992034,,,,
2,99.0,1.11843948501102,0.7692862521925011,0.34915323281851884,0.09001973299679769,0.008103552328814746,-0.027878167122265558,-0.84635082610726,0.7830044489388778,0.11020244922664037,0.18249066661546878,1.8264003279786163,,,,
2,99.5,0.8406068043726364,0.7697202497112694,0.07088655466136695,0.09022407524230151,0.008140383753328484,-0.004254970111564505,-0.8491772699576586,0.784079280627951,0.11052470847419985,0.17099163474157372,1.7822319418926655,0.0012572685419061232,6.954863764518187e-31,1.0,1.815024972780667e-30
2,100.0,0.33810922253812775,0.7701736840300052,-0.43206446149187744,0.09675915642797626,0.009362334352653582,-0.028295160662010644,-0.8677494116708026,0.802915082205357,0.11907726302001083,-0.362366170777615,3.230255329034864,,,,
2,100.5,0.6713284784545589,0.7706462608304461,-0.09931778237588718,0.09691887688282556,0.009393268696228299,-0.001892219693467357,-0.870104819101232,0.8036855198010031,0.11956200573394346,-0.3359963296048454,3.178204425803199,,,,
2,101.0,1.2795446052199522,0.771140586629762,0.5084040185901901,0.10548928767796448,0.011127989814804347,-0.033175024394661176,-0.887820696796889,0.826217492445276,0.12981803967695138,0.4496465272949461,5.331826734826642,,,,
2,101.5,0.9773481882553615,0.7716568880864939,0.2056913001688676,0.10688051567776256,0.011423444631544448,0.034627406901903704,-0.8870116208840941,0.82567938374463,0.13145577017201535,0.445477914945226,4.9841247070237715,,,,
2,102.0,0.49487975880098484,0.7721932937990007,-0.27731353499801586,0.1090485991521218,0.011891596977040139,0.0024492848491371078,-0.8775426549150078,0.8272152111479576,0.13449457903140355,0.3514067394325391,4.656639780303849,0.0015788617566456,2.6136715658373237e-27,1.0,7.06485292518628e-27
2,102.5,0.46103312128138935,0.7727450231720681,-0.3117119018906787,0.11180820124003817,0.012501073864532872,0.04678580901802542,-0.8799646909135447,0.8216443520514226,0.1384547428624395,0.24950920840395724,4.337514808303555,,,,
2,103.0,1.0925664171745166,0.7733154665558138,0.3192509506187028,0.11485202723812146,0.013190988160706196,-0.005957466893956435,-0.8856512883267891,0.8249989528915892,0.142061336075749,0.3381284534165206,4.016429126312775,,,,
2,103.5,0.8903118628995884,0.7739060735318409,0.11640578936774748,0.11518522288186972,0.013267635570346003,0.010971626565193054,-0.8798318628250633,0.8271306832543958,0.14241444668339173,0.31264416954211977,3.9292862632045944,,,,
2,104.0,0.49101035675464705,0.7745144508831449,-0.2835040941284978,0.11705582656841783,0.013702066533615512,-0.0058180301363241335,-0.8848416416671037,0.8367794836857895,0.14507556958765172,0.2404414176282385,3.721707118229935,,,,
2,104.5,0.5944671765071319,0.7751360268157949,-0.18066885030866298,0.11792666910469744,0.013906699286128801,0.01789339224085689,-0.8857993408797435,0.8368365285169458,0.1465240265914287,0.24383755215122657,3.56725733634735,0.001919243458652732,2.0407805445596846e-22,1.0,5.697836870550941e-22
2,105.0,1.1375779781584743,0.7757747273742539,0.3618032507842204,0.12159526635760905,0.014785408800577892,-0.013836810828982707,-0.8907287890238034,0.8478739832676169,0.15085540494533614,0.35985131122759284,3.364341248671456,,,,
2,105.5,0.9625079634883371,0.7764312088971627,0.18607675459117445,0.12256102549913146,0.015021204971398753,0.018304524176606045,-0.8923356828910874,0.8488033089570964,0.15200568885969576,0.35066065192398016,3.192145479080353,,,,
2,106.0,0.41659410940226654,0.7771043374258407,-0.3605102280235742,0.12597959424334995,0.015870858165719093,-0.011873519115838463,-0.8985855020299807,0.8554324990521174,0.15685189303682082,0.2242265039758339,3.006145534952537,,,,
2,106.5,0.4987804657116312,0.7777895695070528,-0.2790091037954216,0.12791471402469096,0.01636217406401847,0.028722741229923205,-0.8997738108479109,0.8579436080002296,0.15973484915742575,0.1862025756179087,2.801227022035172,,,,
2,107.0,1.1976671203738192,0.7784869536396933,0.41918016673412584,0.13255599985502772,0.01757109309756611,-0.018345124789644066,-0.9054033412974285,0.867213444204068,0.16507075847168864,0.32538435739751975,2.738332329202699,0.002514045466034376,1.018943359640531e-21,1.0,2.931531195131898e-21
2,107.5,0.9538263103162204,0.7791992858835745,0.174627024432646,0.13334665722475184,0.01778133099301546,0.010890345359613623,-0.9057473245645018,0.8691721157434357,0.16599630429927534,0.31246914396131137,2.6143634538003617,,,,
2,108.0,0.49153698971541065,0.7799264987514768,-0.28838950903606614,0.13532342928761018,0.01831243051415883,-0.008538592723023482,-0.9063139392007399,0.8736147697744086,0.16906421509541164,0.2835895476018545,2.4442963291611206,,,,
2,108.5,0.5191255892862949,0.7806664243201275,-0.2615408350338325,0.1369112397319741,0.01874468756494609,0.017891731751985555,-0.907078062041292,0.8767322670562671,0.17160373689645625,0.27088566589528806,2.2927628825598725,,,,
2,109.0,1.0995110590805235,0.7814154382296988,0.31809562085082466,0.13946697739411332,0.019451037783450115,-0.011713122036915203,-0.9100852209697728,0.881264283623545,0.17448914193764983,0.29561901156919423,2.09794394995402,,,,
2,109.5,0.8898033613311618,0.782176629605657,0.10762673172550474,0.13976821580138116,0.01953515414830145,0.0009800689411732894,-0.9075718421268457,0.881656395900515,0.17483817248391886,0.27944340270177637,2.049622768567911,0.0037216836217593987,1.5782559897645503e-23,1.0,4.444773192670983e-23
2,110.0,0.3994028236730782,0.7829510307635323,-0.3835482070904541,0.14313844280105564,0.02048861380751108,-0.013007475749231062,-0.911280359632485,0.8851486379321492,0.17973114743675797,0.18337710244864128,1.9394995272760915,,,,
2,110.5,0.5049966331975877,0.7837360455375805,-0.2787394123399928,0.14482695288362307,0.020974846281555173,0.019895449854239633,-0.9094003830877156,0.8877957801285741,0.18246545182259827,0.17423435887688107,1.8059848672892418,,,,
2,111.0,1.3118300534362295,0.7845285543558616,0.5273014990803679,0.15118641940235172,0.02285733341170379,-0.02645659394754198,-0.9124337384630445,0.8891338586489765,0.18989618489145016,0.39361393604339645,2.105734939765712,,,,
2,111.5,1.0354544892648638,0.785331486617072,0.25012300264779186,0.1525947966378931,0.023285171960959954,0.015195505402508708,-0.9149298361400336,0.8893664153358684,0.19146753540205214,0.38570170666719733,1.9570413631215031,,,,
